  1.499999996212864E-003
  R(mm),T(K),mf(-),mCO2(-),v(m/s),rho(kg/m3),enthalpy(J/kg),
  0.0000E+00,  0.3636E+04,  0.5929E-12,  0.3797E-02,  0.1739E-06,  0.9528E-01,  0.5903E+07,
  0.1000E+00,  0.3636E+04,  0.5928E-12,  0.3797E-02,  0.5097E-06,  0.9528E-01,  0.5903E+07,
  0.2000E+00,  0.3636E+04,  0.5928E-12,  0.3797E-02,  0.7383E-06,  0.9528E-01,  0.5903E+07,
  0.3000E+00,  0.3636E+04,  0.5928E-12,  0.3796E-02,  0.8306E-06,  0.9528E-01,  0.5903E+07,
  0.4000E+00,  0.3636E+04,  0.5928E-12,  0.3796E-02,  0.8086E-06,  0.9528E-01,  0.5903E+07,
  0.5000E+00,  0.3636E+04,  0.5928E-12,  0.3796E-02,  0.7020E-06,  0.9528E-01,  0.5903E+07,
  0.6000E+00,  0.3636E+04,  0.5928E-12,  0.3796E-02,  0.5554E-06,  0.9528E-01,  0.5903E+07,
  0.7000E+00,  0.3636E+04,  0.5928E-12,  0.3796E-02,  0.4064E-06,  0.9528E-01,  0.5903E+07,
  0.8000E+00,  0.3636E+04,  0.5928E-12,  0.3796E-02,  0.2776E-06,  0.9528E-01,  0.5903E+07,
  0.9000E+00,  0.3636E+04,  0.5928E-12,  0.3796E-02,  0.1782E-06,  0.9528E-01,  0.5903E+07,
  0.1000E+01,  0.3636E+04,  0.5928E-12,  0.3796E-02,  0.1075E-06,  0.9528E-01,  0.5903E+07,
  0.1100E+01,  0.3636E+04,  0.5928E-12,  0.3796E-02,  0.5985E-07,  0.9528E-01,  0.5903E+07,
  0.1200E+01,  0.3636E+04,  0.5928E-12,  0.3796E-02,  0.2798E-07,  0.9528E-01,  0.5903E+07,
  0.1300E+01,  0.3636E+04,  0.5928E-12,  0.3796E-02,  0.4400E-08,  0.9528E-01,  0.5903E+07,
  0.1400E+01,  0.3636E+04,  0.5928E-12,  0.3796E-02, -0.1845E-07,  0.9528E-01,  0.5903E+07,
  0.1500E+01,  0.3636E+04,  0.5928E-12,  0.3796E-02, -0.4949E-07,  0.9528E-01,  0.5903E+07,
  0.1600E+01,  0.3636E+04,  0.5928E-12,  0.3796E-02, -0.1016E-06,  0.9528E-01,  0.5903E+07,
  0.1700E+01,  0.3636E+04,  0.5928E-12,  0.3796E-02, -0.1964E-06,  0.9528E-01,  0.5903E+07,
  0.1800E+01,  0.3636E+04,  0.5928E-12,  0.3796E-02, -0.3718E-06,  0.9528E-01,  0.5903E+07,
  0.1900E+01,  0.3636E+04,  0.5928E-12,  0.3796E-02, -0.6957E-06,  0.9528E-01,  0.5903E+07,
  0.2000E+01,  0.3636E+04,  0.5928E-12,  0.3796E-02, -0.1286E-05,  0.9528E-01,  0.5903E+07,
  0.2100E+01,  0.3636E+04,  0.5928E-12,  0.3796E-02, -0.2363E-05,  0.9528E-01,  0.5903E+07,
  0.2200E+01,  0.3636E+04,  0.5928E-12,  0.3796E-02, -0.4299E-05,  0.9528E-01,  0.5903E+07,
  0.2300E+01,  0.3636E+04,  0.5928E-12,  0.3797E-02, -0.7740E-05,  0.9528E-01,  0.5903E+07,
  0.2400E+01,  0.3635E+04,  0.5928E-12,  0.3797E-02, -0.1379E-04,  0.9528E-01,  0.5903E+07,
  0.2500E+01,  0.3635E+04,  0.5929E-12,  0.3798E-02, -0.2428E-04,  0.9528E-01,  0.5903E+07,
  0.2600E+01,  0.3635E+04,  0.5930E-12,  0.3799E-02, -0.4225E-04,  0.9529E-01,  0.5903E+07,
  0.2700E+01,  0.3635E+04,  0.5931E-12,  0.3802E-02, -0.7257E-04,  0.9529E-01,  0.5903E+07,
  0.2800E+01,  0.3634E+04,  0.5933E-12,  0.3806E-02, -0.1230E-03,  0.9530E-01,  0.5903E+07,
  0.2900E+01,  0.3634E+04,  0.5938E-12,  0.3813E-02, -0.2053E-03,  0.9533E-01,  0.5903E+07,
  0.3000E+01,  0.3632E+04,  0.5945E-12,  0.3825E-02, -0.3375E-03,  0.9536E-01,  0.5903E+07,
  0.3100E+01,  0.3630E+04,  0.5957E-12,  0.3846E-02, -0.5455E-03,  0.9542E-01,  0.5903E+07,
  0.3200E+01,  0.3626E+04,  0.5977E-12,  0.3880E-02, -0.8655E-03,  0.9551E-01,  0.5903E+07,
  0.3300E+01,  0.3621E+04,  0.6008E-12,  0.3936E-02, -0.1346E-02,  0.9567E-01,  0.5903E+07,
  0.3400E+01,  0.3612E+04,  0.6055E-12,  0.4027E-02, -0.2050E-02,  0.9590E-01,  0.5903E+07,
  0.3500E+01,  0.3598E+04,  0.6123E-12,  0.4171E-02, -0.3047E-02,  0.9627E-01,  0.5903E+07,
  0.3600E+01,  0.3577E+04,  0.6214E-12,  0.4400E-02, -0.4411E-02,  0.9682E-01,  0.5903E+07,
  0.3700E+01,  0.3547E+04,  0.6327E-12,  0.4758E-02, -0.6202E-02,  0.9764E-01,  0.5903E+07,
  0.3800E+01,  0.3505E+04,  0.6441E-12,  0.5315E-02, -0.8442E-02,  0.9882E-01,  0.5903E+07,
  0.3900E+01,  0.3447E+04,  0.6506E-12,  0.6180E-02, -0.1108E-01,  0.1005E+00,  0.5903E+07,
  0.4000E+01,  0.3369E+04,  0.6420E-12,  0.7520E-02, -0.1396E-01,  0.1028E+00,  0.5903E+07,
  0.4100E+01,  0.3270E+04,  0.6030E-12,  0.9595E-02, -0.1679E-01,  0.1059E+00,  0.5903E+07,
  0.4200E+01,  0.3148E+04,  0.5178E-12,  0.1282E-01, -0.1915E-01,  0.1100E+00,  0.5903E+07,
  0.4300E+01,  0.3005E+04,  0.3845E-12,  0.1787E-01, -0.2052E-01,  0.1152E+00,  0.5903E+07,
  0.4400E+01,  0.2847E+04,  0.2303E-12,  0.2585E-01, -0.2037E-01,  0.1217E+00,  0.5903E+07,
  0.4500E+01,  0.2679E+04,  0.1020E-12,  0.3839E-01, -0.1818E-01,  0.1293E+00,  0.5903E+07,
  0.4600E+01,  0.2511E+04,  0.3074E-13,  0.5666E-01, -0.1341E-01,  0.1379E+00,  0.5903E+07,
  0.4700E+01,  0.2349E+04,  0.8763E-13,  0.7832E-01, -0.5523E-02,  0.1474E+00,  0.5903E+07,
  0.4800E+01,  0.2198E+04,  0.1566E-10,  0.9728E-01,  0.5217E-02,  0.1576E+00,  0.5903E+07,
  0.4900E+01,  0.2059E+04,  0.2869E-08,  0.1090E+00,  0.1619E-01,  0.1683E+00,  0.5903E+07,
